X,IR,pot2,ph,temp,dstr,cryst,lgCmin,lgCmax,lgCconst,lgCcat,lgvolume,Sufrace,VSA_EState8,BalabanJ,MinAbsEStateIndex,MinEStateIndex,VSA_EState4,MinPartialCharge,XLogP,MinPartialCharge.1,BCUT2D_CHGLO,polym,PEOE_VSA8_log,PEOE_VSA9_log,Kappa2_log,EState_VSA6_log,EState_VSA4_log,SMR_VSA7_log,Complexity1_log,TPSA_log,TPSA1_log,TPSA2_log,MaxEStateIndex.1_log,MaxEStateIndex.2_log,Vmaxlog
2.757,1.071,-0.05,4.0,37.0,3,7.0,0.176091259,0.176091259,2.0,-4.581698709,1.83835157,0.2,2.25882859,3.066157801,0.331506779,-0.664233856,0.0,-0.48123039,6.5,-0.39829863,-1.987595192,1.00000708,1.859546088173736,0.0,2.789010326588534,0.0,2.552693269045168,2.49749707420834,5.420534999272286,3.6189933266497696,3.951243718581428,3.701301974112493,1.7905485063083346,1.791759469228055,0.1387131098760117
2.757,1.071,-0.05,4.0,37.0,3,7.0,0.176091259,0.176091259,2.0,-4.581698709,3.419637259,0.2,2.25882859,3.066157801,0.331506779,-0.664233856,0.0,-0.48123039,6.5,-0.39829863,-1.987595192,1.00000708,1.859546088173736,0.0,2.789010326588534,0.0,2.552693269045168,2.49749707420834,5.420534999272286,3.6189933266497696,3.951243718581428,3.701301974112493,1.7905485063083346,1.791759469228055,-0.5779028368682897
2.757,1.071,-0.05,4.0,37.0,3,7.0,-0.301029996,1.397940009,2.0,-4.581698709,1.83835157,0.2,2.25882859,3.066157801,0.331506779,-0.664233856,0.0,-0.48123039,6.5,-0.254557431,-1.987595192,1.00000708,1.859546088173736,0.0,2.789010326588534,0.0,2.552693269045168,2.49749707420834,0.0,3.6189933266497696,3.701301974112493,3.951243718581428,1.791759469228055,1.7905485063083346,0.92236209678479
2.757,1.071,-0.05,4.0,37.0,3,7.0,-0.301029996,1.397940009,2.0,-4.581698709,3.419637259,0.2,2.25882859,3.066157801,0.331506779,-0.664233856,0.0,-0.48123039,6.5,-0.254557431,-1.987595192,1.00000708,1.859546088173736,0.0,2.789010326588534,0.0,2.552693269045168,2.49749707420834,0.0,3.6189933266497696,3.701301974112493,3.951243718581428,1.791759469228055,1.7905485063083346,-0.3583276267753135
2.757,1.071,-0.05,4.0,37.0,3,7.0,-0.698970004,2.0,1.176091259,-4.581698709,4.167498253,0.2,2.25882859,3.066157801,0.331506779,-0.664233856,0.0,-0.48123039,6.5,-0.39829863,-1.987595192,1.00000708,1.859546088173736,0.0,2.789010326588534,0.0,2.552693269045168,2.49749707420834,5.420534999272286,3.6189933266497696,3.951243718581428,3.701301974112493,1.7905485063083346,1.791759469228055,0.011655010724778
2.757,1.071,-0.05,4.0,37.0,3,7.0,-0.698970004,2.0,1.176091259,-4.581698709,4.519515097,0.2,2.25882859,3.066157801,0.331506779,-0.664233856,0.0,-0.48123039,6.5,-0.39829863,-1.987595192,1.00000708,1.859546088173736,0.0,2.789010326588534,0.0,2.552693269045168,2.49749707420834,5.420534999272286,3.6189933266497696,3.951243718581428,3.701301974112493,1.7905485063083346,1.791759469228055,-0.1705032502798175
2.757,1.071,-0.05,4.0,37.0,3,7.0,-0.698970004,2.0,1.176091259,-4.581698709,4.965415304,0.2,2.25882859,3.066157801,0.331506779,-0.664233856,0.0,-0.48123039,6.5,-0.39829863,-1.987595192,1.00000708,1.859546088173736,0.0,2.789010326588534,0.0,2.552693269045168,2.49749707420834,5.420534999272286,3.6189933266497696,3.951243718581428,3.701301974112493,1.7905485063083346,1.791759469228055,-0.1892299887656364
2.757,1.071,-0.05,4.0,37.0,3,7.0,-0.301029996,1.397940009,2.0,-4.581698709,4.167498253,0.2,2.25882859,3.066157801,0.331506779,-0.664233856,0.0,-0.48123039,6.5,-0.254557431,-1.987595192,1.00000708,1.859546088173736,0.0,2.789010326588534,0.0,2.552693269045168,2.49749707420834,0.0,3.6189933266497696,3.701301974112493,3.951243718581428,1.791759469228055,1.7905485063083346,0.1076508261464865
2.757,1.071,-0.05,4.0,37.0,3,7.0,-0.301029996,1.397940009,2.0,-4.581698709,4.519515097,0.2,2.25882859,3.066157801,0.331506779,-0.664233856,0.0,-0.48123039,6.5,-0.254557431,-1.987595192,1.00000708,1.859546088173736,0.0,2.789010326588534,0.0,2.552693269045168,2.49749707420834,0.0,3.6189933266497696,3.701301974112493,3.951243718581428,1.791759469228055,1.7905485063083346,-0.0360705779734415
2.757,1.071,-0.05,4.0,37.0,3,7.0,-0.301029996,1.397940009,2.0,-4.581698709,4.965415304,0.2,2.25882859,3.066157801,0.331506779,-0.664233856,0.0,-0.48123039,6.5,-0.254557431,-1.987595192,1.00000708,1.859546088173736,0.0,2.789010326588534,0.0,2.552693269045168,2.49749707420834,0.0,3.6189933266497696,3.701301974112493,3.951243718581428,1.791759469228055,1.7905485063083346,0.0179510688307422
