Km,activity,X,IR,pot2,ph,temp,dstr,cryst,lgCmin,lgCmax,lgCconst,Cconst,lgCcat,lgvolume,Mcoat,Sufrace,MolWt,PEOE_VSA7,PEOE_VSA9,VSA_EState8,Kappa2,BalabanJ,MinAbsEStateIndex,MinEStateIndex,EState_VSA6,VSA_EState4,PEOE_VSA8,MinPartialCharge,EState_VSA4,SMR_VSA7,Complexity1,TPSA1,TPSA2,TPSA,XLogP,MaxEStateIndex.1,MaxEStateIndex.2,MinPartialCharge.1,MaxPartialCharge.1,BCUT2D_CHGLO,polym,Complexity,Vmax_log
0.0065,1,2.757,1.071,-0.05,4.0,37.0,3,7.0,0.176091259,0.176091259,2.0,100.0,-4.581698709,1.83835157,282.47,0.2,282.468,32.10410811,0.0,2.25882859,16.26491488,3.066157801,0.331506779,-0.664233856,0.0,0.0,6.420821623,-0.48123039,12.84164325,12.15204021,226.0,52.0,40.5,37.3,6.5,5.99273862,6.0,-0.39829863,0.037337328,-1.987595192,1.00000708,0.0,0.1387131098760117
0.0554,1,2.757,1.071,-0.05,4.0,37.0,3,7.0,0.176091259,0.176091259,2.0,100.0,-4.581698709,3.419637259,282.47,0.2,282.468,32.10410811,0.0,2.25882859,16.26491488,3.066157801,0.331506779,-0.664233856,0.0,0.0,6.420821623,-0.48123039,12.84164325,12.15204021,226.0,52.0,40.5,37.3,6.5,5.99273862,6.0,-0.39829863,0.037337328,-1.987595192,1.00000708,0.0,-0.5779028368682897
0.0355,1,2.757,1.071,-0.05,4.0,37.0,3,7.0,-0.301029996,1.397940009,2.0,100.0,-4.581698709,1.83835157,282.47,0.2,282.468,32.10410811,0.0,2.25882859,16.26491488,3.066157801,0.331506779,-0.664233856,0.0,0.0,6.420821623,-0.48123039,12.84164325,12.15204021,0.0,40.5,52.0,37.3,6.5,6.0,5.99273862,-0.254557431,-0.254557431,-1.987595192,1.00000708,0.0,0.92236209678479
0.2277,1,2.757,1.071,-0.05,4.0,37.0,3,7.0,-0.301029996,1.397940009,2.0,100.0,-4.581698709,3.419637259,282.47,0.2,282.468,32.10410811,0.0,2.25882859,16.26491488,3.066157801,0.331506779,-0.664233856,0.0,0.0,6.420821623,-0.48123039,12.84164325,12.15204021,0.0,40.5,52.0,37.3,6.5,6.0,5.99273862,-0.254557431,-0.254557431,-1.987595192,1.00000708,0.0,-0.3583276267753135
0.0173,1,2.757,1.071,-0.05,4.0,37.0,3,7.0,-0.698970004,2.0,1.176091259,15.0,-4.581698709,4.167498253,282.47,0.2,282.468,32.10410811,0.0,2.25882859,16.26491488,3.066157801,0.331506779,-0.664233856,0.0,0.0,6.420821623,-0.48123039,12.84164325,12.15204021,226.0,52.0,40.5,37.3,6.5,5.99273862,6.0,-0.39829863,0.037337328,-1.987595192,1.00000708,0.0,0.011655010724778
0.0243,1,2.757,1.071,-0.05,4.0,37.0,3,7.0,-0.698970004,2.0,1.176091259,15.0,-4.581698709,4.519515097,282.47,0.2,282.468,32.10410811,0.0,2.25882859,16.26491488,3.066157801,0.331506779,-0.664233856,0.0,0.0,6.420821623,-0.48123039,12.84164325,12.15204021,226.0,52.0,40.5,37.3,6.5,5.99273862,6.0,-0.39829863,0.037337328,-1.987595192,1.00000708,0.0,-0.1705032502798175
0.0348,1,2.757,1.071,-0.05,4.0,37.0,3,7.0,-0.698970004,2.0,1.176091259,15.0,-4.581698709,4.965415304,282.47,0.2,282.468,32.10410811,0.0,2.25882859,16.26491488,3.066157801,0.331506779,-0.664233856,0.0,0.0,6.420821623,-0.48123039,12.84164325,12.15204021,226.0,52.0,40.5,37.3,6.5,5.99273862,6.0,-0.39829863,0.037337328,-1.987595192,1.00000708,0.0,-0.1892299887656364
0.0393,1,2.757,1.071,-0.05,4.0,37.0,3,7.0,-0.301029996,1.397940009,2.0,100.0,-4.581698709,4.167498253,282.47,0.2,282.468,32.10410811,0.0,2.25882859,16.26491488,3.066157801,0.331506779,-0.664233856,0.0,0.0,6.420821623,-0.48123039,12.84164325,12.15204021,0.0,40.5,52.0,37.3,6.5,6.0,5.99273862,-0.254557431,-0.254557431,-1.987595192,1.00000708,0.0,0.1076508261464865
0.0661,1,2.757,1.071,-0.05,4.0,37.0,3,7.0,-0.301029996,1.397940009,2.0,100.0,-4.581698709,4.519515097,282.47,0.2,282.468,32.10410811,0.0,2.25882859,16.26491488,3.066157801,0.331506779,-0.664233856,0.0,0.0,6.420821623,-0.48123039,12.84164325,12.15204021,0.0,40.5,52.0,37.3,6.5,6.0,5.99273862,-0.254557431,-0.254557431,-1.987595192,1.00000708,0.0,-0.0360705779734415
0.1107,1,2.757,1.071,-0.05,4.0,37.0,3,7.0,-0.301029996,1.397940009,2.0,100.0,-4.581698709,4.965415304,282.47,0.2,282.468,32.10410811,0.0,2.25882859,16.26491488,3.066157801,0.331506779,-0.664233856,0.0,0.0,6.420821623,-0.48123039,12.84164325,12.15204021,0.0,40.5,52.0,37.3,6.5,6.0,5.99273862,-0.254557431,-0.254557431,-1.987595192,1.00000708,0.0,0.0179510688307422
0.0752,1,2.757,1.071,-0.05,6.0,25.0,3,7.0,-3.0,2.0,1.176091259,15.0,-2.096910013,3.438384107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.5,52.0,0.0,0.0,6.0,5.99273862,-0.254557431,-0.254557431,0.0,0.0,0.0,-3.5926923928696337
0.0015,1,2.71,1.083,-0.179,3.5,37.0,3,7.0,-3.0,0.045322979,1.0,10.0,-3.301029996,1.806179974,282.47,0.2,282.468,32.10410811,0.0,2.25882859,16.26491488,3.066157801,0.331506779,-0.664233856,0.0,0.0,6.420821623,-0.48123039,12.84164325,12.15204021,226.0,52.0,40.5,37.3,6.5,5.99273862,6.0,-0.39829863,0.037337328,-1.987595192,1.00000708,0.0,0.8438554226231612
0.0964,1,2.71,1.083,-0.179,3.5,37.0,3,7.0,-3.0,0.045322979,1.0,10.0,-3.301029996,3.612359948,282.47,0.2,282.468,32.10410811,0.0,2.25882859,16.26491488,3.066157801,0.331506779,-0.664233856,0.0,0.0,6.420821623,-0.48123039,12.84164325,12.15204021,226.0,52.0,40.5,37.3,6.5,5.99273862,6.0,-0.39829863,0.037337328,-1.987595192,1.00000708,0.0,-0.4522252946121775
0.033,1,2.71,1.083,-0.179,3.5,37.0,3,7.0,-3.0,0.045322979,1.0,10.0,-3.301029996,4.294091292,282.47,0.2,282.468,32.10410811,0.0,2.25882859,16.26491488,3.066157801,0.331506779,-0.664233856,0.0,0.0,6.420821623,-0.48123039,12.84164325,12.15204021,226.0,52.0,40.5,37.3,6.5,5.99273862,6.0,-0.39829863,0.037337328,-1.987595192,1.00000708,0.0,-0.1366771398795441
0.112,1,2.71,1.083,-0.179,3.5,37.0,3,7.0,-3.0,1.380211242,0.176091259,1.5,-3.301029996,1.806179974,282.47,0.2,282.468,32.10410811,0.0,2.25882859,16.26491488,3.066157801,0.331506779,-0.664233856,0.0,0.0,6.420821623,-0.48123039,12.84164325,12.15204021,0.0,40.5,52.0,37.3,6.5,6.0,5.99273862,-0.254557431,-0.254557431,-1.987595192,1.00000708,0.0,0.8543060418010806
0.543,1,2.71,1.083,-0.179,3.5,37.0,3,7.0,-3.0,1.380211242,0.176091259,1.5,-3.301029996,3.612359948,282.47,0.2,282.468,32.10410811,0.0,2.25882859,16.26491488,3.066157801,0.331506779,-0.664233856,0.0,0.0,6.420821623,-0.48123039,12.84164325,12.15204021,0.0,40.5,52.0,37.3,6.5,6.0,5.99273862,-0.254557431,-0.254557431,-1.987595192,1.00000708,0.0,-0.2881927709588089
0.242,1,2.71,1.083,-0.179,3.5,37.0,3,7.0,-3.0,1.380211242,0.176091259,1.5,-3.301029996,3.765817515,282.47,0.2,282.468,32.10410811,0.0,2.25882859,16.26491488,3.066157801,0.331506779,-0.664233856,0.0,0.0,6.420821623,-0.48123039,12.84164325,12.15204021,0.0,40.5,52.0,37.3,6.5,6.0,5.99273862,-0.254557431,-0.254557431,-1.987595192,1.00000708,0.0,0.693726948923647
0.304,1,2.71,1.083,-0.179,3.5,37.0,3,7.0,-3.0,1.380211242,0.176091259,1.5,-3.301029996,4.294091292,282.47,0.2,282.468,32.10410811,0.0,2.25882859,16.26491488,3.066157801,0.331506779,-0.664233856,0.0,0.0,6.420821623,-0.48123039,12.84164325,12.15204021,0.0,40.5,52.0,37.3,6.5,6.0,5.99273862,-0.254557431,-0.254557431,-1.987595192,1.00000708,0.0,0.2455126678141498
0.528,1,2.71,1.083,-0.179,3.5,25.0,3,7.0,-3.0,1.146128036,-0.096910013,0.8,-1.397940009,2.334453751,192.12,0.2,192.123,0.0,12.84164325,0.0,3.853986625,4.619312135,1.144212963,-2.738425926,0.0,-2.738425926,0.0,-0.481138775,0.0,0.0,0.0,40.5,52.0,132.13,-1.7,6.0,5.99273862,-0.254557431,-0.254557431,-2.178395123,0.999984385,0.0,-4.667561540084395
0.67,1,2.676,1.067,-0.349,4.0,45.0,3,7.0,-0.8,-0.397940009,-0.38210376,0.504,-1.397940009,7.027268042,20000.0,0.2,44.053,0.0,13.21376393,2.0,0.206165084,2.25,1.0,1.0,0.0,0.0,0.0,-0.376667636,13.21376393,0.0,226.0,52.0,40.5,12.53,-0.1,5.99273862,6.0,-0.39829863,0.037337328,-1.241764757,453.9985926,0.0,-4.679853713888946
0.14,1,2.676,1.067,-0.349,4.0,45.0,3,7.0,-0.920818754,-0.397940009,1.079181246,12.0,-1.397940009,7.027268042,20000.0,0.2,44.053,0.0,13.21376393,2.0,0.206165084,2.25,1.0,1.0,0.0,0.0,0.0,-0.376667636,13.21376393,0.0,0.0,883.0,40.5,12.53,-0.1,11.3319983,6.0,-0.744035145,0.211204803,-1.241764757,453.9985926,0.0,-3.9017024635053024
4.61,1,2.676,1.067,-0.349,4.0,45.0,3,7.0,0.0,1.301029996,-0.397940009,0.4,-1.397940009,7.027268042,20000.0,0.2,44.053,0.0,13.21376393,2.0,0.206165084,2.25,1.0,1.0,0.0,0.0,0.0,-0.376667636,13.21376393,0.0,0.0,40.5,52.0,12.53,-0.1,6.0,5.99273862,-0.254557431,-0.254557431,-1.241764757,453.9985926,0.0,-3.8709549401120418
0.55,1,2.761,1.137,-0.047,4.0,45.0,3,7.0,-0.8,0.72247199,-0.38210376,0.504,-1.397940009,6.903089987,20000.0,0.2,44.053,0.0,13.21376393,2.0,0.206165084,2.25,1.0,1.0,0.0,0.0,0.0,-0.376667636,13.21376393,0.0,226.0,52.0,40.5,12.53,-0.1,5.99273862,6.0,-0.39829863,0.037337328,-1.241764757,453.9985926,0.0,-4.34008379993015
0.46,1,2.761,1.137,-0.047,4.0,45.0,3,7.0,-0.920818754,-0.397940009,1.079181246,12.0,-1.397940009,6.903089987,20000.0,0.2,44.053,0.0,13.21376393,2.0,0.206165084,2.25,1.0,1.0,0.0,0.0,0.0,-0.376667636,13.21376393,0.0,0.0,883.0,40.5,12.53,-0.1,11.3319983,6.0,-0.744035145,0.211204803,-1.241764757,453.9985926,0.0,-3.757458571701616
2.6,1,2.761,1.137,-0.047,4.0,45.0,3,7.0,0.0,1.301029996,-0.397940009,0.4,-1.397940009,6.903089987,20000.0,0.2,44.053,0.0,13.21376393,2.0,0.206165084,2.25,1.0,1.0,0.0,0.0,0.0,-0.376667636,13.21376393,0.0,0.0,40.5,52.0,12.53,-0.1,6.0,5.99273862,-0.254557431,-0.254557431,-1.241764757,453.9985926,0.0,-3.850472986245652
0.509,1,2.724,1.07,-0.119,4.0,25.0,3,7.0,1.556302501,2.831229694,2.245512668,176.0,0.221848758,4.879760868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,226.0,52.0,40.5,0.0,0.0,5.99273862,6.0,-0.39829863,0.037337328,0.0,0.0,0.0,-4.037157318798758
0.85,1,2.724,1.07,-0.119,4.0,40.0,3,7.0,-1.0,0.204119983,-0.698970004,0.2,-1.397940009,6.903089987,20000.0,0.2,106.121,0.0,26.42752786,1.75,5.88,1.05e-07,0.125,-0.125,0.0,0.0,0.0,-0.393990542,13.21376393,0.0,226.0,52.0,40.5,52.99,53.0,5.99273862,6.0,-0.39829863,0.037337328,-1.699066797,188.4641117,0.0,-3.875821944525325
1.66,1,2.724,1.07,-0.119,4.0,40.0,3,7.0,-3.0,1.204119983,-0.494850022,0.32,-1.397940009,6.903089987,20000.0,0.2,106.121,0.0,26.42752786,1.75,5.88,1.05e-07,0.125,-0.125,0.0,0.0,0.0,-0.393990542,13.21376393,0.0,0.0,40.5,52.0,52.99,53.0,6.0,5.99273862,-0.254557431,-0.254557431,-1.699066797,188.4641117,0.0,-4.111259039317107
0.142,1,2.776,1.127,0.077,4.0,37.0,3,2.0,-2.0,0.176091259,-0.698970004,0.2,-1.698970004,6.0,62.07,0.2,62.068,0.0,13.21376393,-0.25,2.92,1.974744871,0.125,-0.125,0.0,0.0,0.0,-0.393990542,0.0,0.0,226.0,52.0,40.5,40.46,-1.4,5.99273862,6.0,-0.39829863,0.037337328,-1.699066797,1.000032223,0.0,-4.653647025549361
9.406,1,2.776,1.127,0.077,4.0,37.0,3,2.0,-1.0,1.301029996,0.602059991,4.0,-1.698970004,6.0,62.07,0.2,62.068,0.0,13.21376393,-0.25,2.92,1.974744871,0.125,-0.125,0.0,0.0,0.0,-0.393990542,0.0,0.0,0.0,40.5,52.0,40.46,-1.4,6.0,5.99273862,-0.254557431,-0.254557431,-1.699066797,1.000032223,0.0,-3.5877074906769537
0.317,1,2.744,1.09,0.057,4.0,35.0,1,7.0,-1.0,0.903089987,0.477121255,3.0,-0.698970004,5.795880017,200.0,0.2,44.053,0.0,13.21376393,2.0,0.206165084,2.25,1.0,1.0,0.0,0.0,0.0,-0.376667636,13.21376393,0.0,226.0,52.0,40.5,12.53,-0.1,5.99273862,6.0,-0.39829863,0.037337328,-1.241764757,4.539985926,0.0,-4.6595558851598815
0.325,1,2.744,1.09,0.057,4.0,35.0,1,7.0,-1.0,0.477121255,0.903089987,8.0,-0.698970004,5.795880017,200.0,0.2,44.053,0.0,13.21376393,2.0,0.206165084,2.25,1.0,1.0,0.0,0.0,0.0,-0.376667636,13.21376393,0.0,0.0,40.5,52.0,12.53,-0.1,6.0,5.99273862,-0.254557431,-0.254557431,-1.241764757,4.539985926,0.0,-4.425968732272281
0.2,1,3.003,1.108,0.042,3.0,28.0,3,1.0,-2.0,-0.207608311,0.672097858,4.7,0.0,5.458631807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,226.0,52.0,40.5,0.0,0.0,5.99273862,6.0,-0.39829863,0.037337328,0.0,0.0,0.0,-2.326058001365912
0.38,1,3.003,1.108,0.042,3.0,28.0,3,1.0,-0.698970004,0.322219295,-0.619788758,0.24,0.0,5.458631807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.5,52.0,0.0,0.0,6.0,5.99273862,-0.254557431,-0.254557431,0.0,0.0,0.0,-3.946921556516581
1.18,1,2.992,1.117,-0.09,3.0,40.0,3,2.0,-1.698970004,-0.22184875,2.568201724,370.0,-1.420216403,10.60205999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,226.0,52.0,40.5,0.0,0.0,5.99273862,6.0,-0.39829863,0.037337328,0.0,0.0,0.0,-3.940058111938045
0.59,1,2.992,1.117,-0.09,3.0,40.0,3,2.0,-0.698970004,1.0,-0.721246399,0.19,-1.420216403,10.60205999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.5,52.0,0.0,0.0,6.0,5.99273862,-0.254557431,-0.254557431,0.0,0.0,0.0,-4.661543506395395
0.311,1,2.827,1.086,-0.096,5.0,30.0,3,2.0,-1.301029996,-0.397940009,0.903089987,8.0,-1.522878745,7.193820026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,226.0,52.0,40.5,0.0,0.0,5.99273862,6.0,-0.39829863,0.037337328,0.0,0.0,0.0,-4.58838029403677
0.669,1,2.827,1.086,-0.096,5.0,30.0,3,2.0,-0.301029996,0.84509804,-0.301029996,0.5,-1.522878745,7.193820026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.5,52.0,0.0,0.0,6.0,5.99273862,-0.254557431,-0.254557431,0.0,0.0,0.0,-4.903089986991944
0.691,1,2.87,1.084,-0.048,4.0,25.0,1,3.0,-1.0,-0.096910013,1.0,10.0,-1.0,7.301029996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,226.0,52.0,40.5,0.0,0.0,5.99273862,6.0,-0.39829863,0.037337328,0.0,0.0,0.0,-4.600326278518962
